#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-19T16:26:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62af393d2c50d2	
#INFO	-out.max=200	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=200
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:I/297&tab:{I/297/out}&key:kw.Wavelength=optical&key:kw.Mission=Gaia&key:kw.Astronomy=Stars&key:source=NOMAD&HTTPPRM:&&-ref=VIZ62af393d2c50d2&-out.max=200&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=I/297/out&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=NOMAD1&-out=YM&-out=RAJ2000&-out=DEJ2000&-out=r&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Bmag&-out=r_Bmag&-out=Vmag&-out=r_Vmag&-out=Rmag&-out=r_Rmag&-out=Jmag&-out=Hmag&-out=Kmag&-out=R&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=I/297/out
#-source=I/297/out
#-out=NOMAD1
#-out=YM
#-out=RAJ2000
#-out=DEJ2000
#-out=r
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Bmag
#-out=r_Bmag
#-out=Vmag
#-out=r_Vmag
#-out=Rmag
#-out=r_Rmag
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=R
#
#
#RESOURCE=yCat_1297
#Name: I/297
#Title: NOMAD Catalog (Zacharias+ 2005)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_297_out:
#Name: I/297/out
#Title: The NOMAD-1 Catalog
#Column	_RAJ2000	(F13.9)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F13.9)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	NOMAD1	(a12)	NOMAD-identifier (1)	[ucd=meta.id;meta.main]
#Column	YM	(A2)	[YM.] Existence in YB6 or 2MASS (Cat. II/246)	[ucd=meta.note]
#Column	RAJ2000	(F11.7)	Right ascension in ICRS, Ep=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination in ICRS, Ep=J2000	[ucd=pos.eq.dec;meta.main]
#Column	r	(A1)	[BCMYTH] Source of position (3)	[ucd=meta.ref;pos.frame]
#Column	pmRA	(F8.1)	Proper motion in RA (*cos(Dec))	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.1)	Mean error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.1)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.1)	Mean error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Bmag	(F6.3)	?Blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	r_Bmag	(A1)	[BCMYTHo] Origin of Bmag (3)	[ucd=meta.ref;pos.frame]
#Column	Vmag	(F6.3)	?Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	r_Vmag	(A1)	[BCMYTH] Origin of Vmag (3)	[ucd=meta.ref;pos.frame]
#Column	Rmag	(F6.3)	?Red magnitude	[ucd=phot.mag;em.opt.R]
#Column	r_Rmag	(A1)	[BCMYTHe] Origin of Rmag (3)	[ucd=meta.ref;pos.frame]
#Column	Jmag	(F6.3)	?Infrared J magnitude (from 2MASS)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	?Infrared H magnitude (from 2MASS)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	?Infrared K magnitude (from 2MASS)	[ucd=phot.mag;em.IR.K]
#Column	R	(A1)	[R*] Recommended (R) or Problematic (*) (4)	[ucd=meta.note]
_RAJ2000;_DEJ2000;NOMAD1;YM;RAJ2000;DEJ2000;r;pmRA;e_pmRA;pmDE;e_pmDE;Bmag;r_Bmag;Vmag;r_Vmag;Rmag;r_Rmag;Jmag;Hmag;Kmag;R
044.519111100;+00.699588900;0906-0029988;..;044.5191111;+00.6995889;B;     0.0;  0.0;     0.0;  0.0;20.920;o;      ; ;19.340;e;      ;      ;      ;
044.440997200;+00.655630600;0906-0029942;YM;044.4409972;+00.6556306;B;     6.0;  1.0;    10.0;  1.0;17.760;Y;16.840;Y;16.670;B;15.006;14.401;14.215;
044.417075000;+00.647483300;0906-0029929;..;044.4170750;+00.6474833;B;     0.0;  0.0;     0.0;  0.0;21.190;B;      ; ;      ; ;      ;      ;      ;
044.426477800;+00.651022200;0906-0029930;.M;044.4264778;+00.6510222;B;     0.0;  0.0;     0.0;  0.0;21.160;B;      ; ;19.590;B;15.849;15.295;14.776;
044.414288600;+00.657105000;0906-0029926;YM;044.4142886;+00.6571050;C;    -4.0;  5.6;    -3.9;  5.4;16.180;Y;15.790;Y;15.300;B;14.341;13.758;13.694;
044.452113900;+00.677769400;0906-0029952;..;044.4521139;+00.6777694;B;     0.0;  0.0;     0.0;  0.0;19.850;B;      ; ;18.650;B;      ;      ;      ;
044.451572200;+00.677844400;0906-0029951;.M;044.4515722;+00.6778444;B;     0.0;  0.0;     0.0;  0.0;20.410;o;      ; ;      ; ;17.001;16.123;15.617;
044.448258300;+00.679263900;0906-0029947;YM;044.4482583;+00.6792639;B;   -10.0;  4.0;     6.0;  1.0;17.380;B;17.510;Y;15.780;B;15.849;15.019;14.507;
044.449019400;+00.679852800;0906-0029948;..;044.4490194;+00.6798528;B;     0.0;  0.0;     0.0;  0.0;20.700;o;      ; ;19.620;B;      ;      ;      ;
044.449613900;+00.687405600;0906-0029950;..;044.4496139;+00.6874056;B;     0.0;  0.0;     0.0;  0.0;20.600;B;      ; ;19.120;B;      ;      ;      ;
044.399041700;+00.661263900;0906-0029919;..;044.3990417;+00.6612639;B;    18.0;  1.0;   448.0; 31.0;21.210;B;      ; ;20.580;B;      ;      ;      ;
044.413713900;+00.666386100;0906-0029925;..;044.4137139;+00.6663861;B;     0.0;  0.0;     0.0;  0.0;21.130;B;      ; ;      ; ;      ;      ;      ;
044.408383300;+00.670850000;0906-0029922;..;044.4083833;+00.6708500;B;     4.0;  6.0;    20.0;  7.0;      ; ;      ; ;20.070;B;      ;      ;      ;
044.397608300;+00.666647200;0906-0029917;YM;044.3976083;+00.6666472;B;    10.0;  2.0;     8.0;  3.0;18.350;Y;17.550;Y;17.290;B;15.807;15.169;15.095;
044.396008300;+00.674016700;0906-0029916;..;044.3960083;+00.6740167;B;     0.0;  0.0;     0.0;  0.0;19.710;B;      ; ;18.610;B;      ;      ;      ;
044.400375000;+00.678072200;0906-0029921;..;044.4003750;+00.6780722;B;    38.0; 12.0;   -10.0;  6.0;20.830;B;      ; ;20.180;B;      ;      ;      ;
044.400227800;+00.682202800;0906-0029920;.M;044.4002278;+00.6822028;B;   -10.0;  3.0;   -20.0;  7.0;      ; ;      ; ;20.140;B;16.512;16.289;15.631;
044.428754700;+00.680544700;0906-0029932;YM;044.4287547;+00.6805447;C;     3.1;  5.5;   -10.4;  5.4;15.500;Y;14.860;Y;14.410;B;13.525;13.062;12.898;
044.426763900;+00.685963900;0906-0029931;..;044.4267639;+00.6859639;B;   268.0;137.0;  -506.0; 55.1;20.900;o;      ; ;20.250;B;      ;      ;      ;
044.446397200;+00.687100000;0906-0029945;..;044.4463972;+00.6871000;B;     0.0;  0.0;     0.0;  0.0;21.210;B;      ; ;19.240;B;      ;      ;      ;
044.411469400;+00.689850000;0906-0029924;..;044.4114694;+00.6898500;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.490;B;      ;      ;      ;
044.429200000;+00.701225000;0907-0031688;YM;044.4292000;+00.7012250;B;     4.0;  1.0;     6.0;  1.0;17.820;Y;16.950;Y;16.920;B;15.409;14.832;14.583;
044.471511100;+00.678494400;0906-0029961;..;044.4715111;+00.6784944;B;   -10.0;  3.0;    10.0;  9.0;20.580;B;      ; ;19.590;B;      ;      ;      ;
044.478472200;+00.680022200;0906-0029963;..;044.4784722;+00.6800222;B;     0.0;  0.0;     0.0;  0.0;20.930;o;      ; ;20.600;B;      ;      ;      ;
044.484136100;+00.689633300;0906-0029965;..;044.4841361;+00.6896333;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.410;B;      ;      ;      ;
044.466663900;+00.692069400;0906-0029959;..;044.4666639;+00.6920694;B;     0.0;  0.0;     0.0;  0.0;20.190;o;      ; ;20.570;B;      ;      ;      ;
044.466336100;+00.691772200;0906-0029958;.M;044.4663361;+00.6917722;B;   -14.0;  5.0;   -84.0; 16.0;19.410;B;      ; ;17.150;B;16.375;15.590;14.571;
044.467588900;+00.696711100;0906-0029960;..;044.4675889;+00.6967111;B;     0.0;  0.0;     0.0;  0.0;21.120;B;      ; ;19.080;e;      ;      ;      ;
044.468450000;+00.703736100;0907-0031712;..;044.4684500;+00.7037361;B;     0.0;  0.0;     0.0;  0.0;20.500;B;      ; ;19.450;B;      ;      ;      ;
044.490622200;+00.694597200;0906-0029966;..;044.4906222;+00.6945972;B;    96.0;  2.0;   -92.0; 33.0;      ; ;      ; ;20.350;B;      ;      ;      ;
044.499927800;+00.695216700;0906-0029972;Y.;044.4999278;+00.6952167;B;     0.0;  0.0;     0.0;  0.0;21.000;B;17.970;Y;20.060;B;      ;      ;      ;
044.512052800;+00.711561100;0907-0031728;..;044.5120528;+00.7115611;B;     0.0;  0.0;     0.0;  0.0;20.920;o;      ; ;18.410;e;      ;      ;      ;
044.480380600;+00.708897200;0907-0031718;..;044.4803806;+00.7088972;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.150;B;      ;      ;      ;
044.455666700;+00.706038900;0907-0031707;YM;044.4556667;+00.7060389;B;     2.0;  3.0;    -4.0;  0.0;17.210;Y;17.060;Y;16.950;B;16.135;15.894;15.089;
044.454094400;+00.706916700;0907-0031702;..;044.4540944;+00.7069167;B;     0.0;  0.0;     0.0;  0.0;20.730;o;      ; ;      ; ;      ;      ;      ;
044.463358300;+00.712688900;0907-0031711;..;044.4633583;+00.7126889;B;     0.0;  0.0;     0.0;  0.0;21.110;B;      ; ;20.520;B;      ;      ;      ;
044.442991700;+00.710816700;0907-0031693;..;044.4429917;+00.7108167;B;  -332.0; 42.0;   -34.0; 20.0;21.180;B;      ; ;19.040;e;      ;      ;      ;
044.432966700;+00.711533300;0907-0031690;..;044.4329667;+00.7115333;B;  -288.0; 44.0;   372.0; 51.0;20.810;o;      ; ;20.260;B;      ;      ;      ;
044.447738900;+00.711677800;0907-0031699;.M;044.4477389;+00.7116778;B;     0.0;  0.0;     0.0;  0.0;18.440;B;      ; ;17.290;B;16.942;15.288;15.269;
044.447366700;+00.722069400;0907-0031697;..;044.4473667;+00.7220694;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.570;B;      ;      ;      ;
044.447563900;+00.722311100;0907-0031698;..;044.4475639;+00.7223111;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.420;B;      ;      ;      ;
044.481983300;+00.719030600;0907-0031720;.M;044.4819833;+00.7190306;B;     0.0;  0.0;     0.0;  0.0;21.050;B;      ; ;19.370;B;16.559;15.887;15.525;
044.468669400;+00.714891700;0907-0031713;..;044.4686694;+00.7148917;B;   -24.0; 11.0;   -22.0;  7.0;19.470;B;      ; ;18.380;B;      ;      ;      ;
044.462680600;+00.719486100;0907-0031709;..;044.4626806;+00.7194861;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.380;B;      ;      ;      ;
044.455369400;+00.723841700;0907-0031704;..;044.4553694;+00.7238417;B;   -38.0;  4.0;    -8.0;  1.0;21.160;B;      ; ;20.570;B;      ;      ;      ;
044.653872200;+00.603441700;0906-0030073;..;044.6538722;+00.6034417;B;   -64.0;  3.0;   -30.0;  1.0;21.220;B;      ; ;20.530;B;      ;      ;      ;
044.650175000;+00.612911100;0906-0030071;..;044.6501750;+00.6129111;B;    -4.0; 29.0;   -30.0;  5.0;      ; ;      ; ;18.580;B;      ;      ;      ;
044.652797200;+00.614091700;0906-0030072;..;044.6527972;+00.6140917;B;     0.0;  0.0;     0.0;  0.0;20.830;B;      ; ;      ; ;      ;      ;      ;
044.639872200;+00.613205600;0906-0030067;YM;044.6398722;+00.6132056;B;     4.0;  6.0;   -16.0;  3.0;20.250;B;17.850;Y;18.130;B;16.236;15.967;15.708;
044.639647200;+00.622533300;0906-0030066;..;044.6396472;+00.6225333;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.350;B;      ;      ;      ;
044.671591700;+00.619575000;0906-0030079;..;044.6715917;+00.6195750;B;    62.0;  5.0;   -28.0;  8.0;21.220;B;      ; ;20.140;B;      ;      ;      ;
044.668944400;+00.620869400;0906-0030077;..;044.6689444;+00.6208694;B;     0.0;  0.0;     0.0;  0.0;20.360;B;      ; ;19.330;B;      ;      ;      ;
044.670016700;+00.623283300;0906-0030078;..;044.6700167;+00.6232833;B;   152.0;  0.0;  -296.0; 30.0;20.780;B;      ; ;20.350;B;      ;      ;      ;
044.675688900;+00.640586100;0906-0030083;..;044.6756889;+00.6405861;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.450;B;      ;      ;      ;
044.661347200;+00.642533300;0906-0030074;..;044.6613472;+00.6425333;B;   -16.0;  3.0;    12.0; 14.0;19.700;B;      ; ;18.690;B;      ;      ;      ;
044.643197200;+00.631902800;0906-0030069;.M;044.6431972;+00.6319028;B;     0.0;  7.0;    34.0;  2.0;20.790;B;      ; ;19.400;B;15.964;15.201;15.085;
044.634058300;+00.631991700;0906-0030064;..;044.6340583;+00.6319917;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;19.440;e;      ;      ;      ;
044.641177800;+00.639830600;0906-0030068;Y.;044.6411778;+00.6398306;B;     0.0;  0.0;     0.0;  0.0;20.790;B;17.630;Y;20.370;B;      ;      ;      ;
044.644808300;+00.638677800;0906-0030070;..;044.6448083;+00.6386778;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.180;B;      ;      ;      ;
044.636636100;+00.644450000;0906-0030065;..;044.6366361;+00.6444500;B;     0.0;  0.0;     0.0;  0.0;18.150;B;      ; ;17.030;B;      ;      ;      ;
044.687930600;+00.638527800;0906-0030089;..;044.6879306;+00.6385278;B;     0.0;  0.0;     0.0;  0.0;20.870;B;      ; ;      ; ;      ;      ;      ;
044.703927800;+00.652088900;0906-0030098;.M;044.7039278;+00.6520889;B;    12.0;  5.0;    -6.0;  2.0;21.150;B;      ; ;19.910;B;16.432;15.637;15.467;
044.685011100;+00.658558300;0906-0030087;..;044.6850111;+00.6585583;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.510;B;      ;      ;      ;
044.684475000;+00.661913900;0906-0030086;.M;044.6844750;+00.6619139;B;    20.0;  8.0;    -4.0;  3.0;21.170;B;      ; ;19.720;B;16.568;15.617;15.689;
044.692322200;+00.665652800;0906-0030094;..;044.6923222;+00.6656528;B;     8.0;  6.0;   -38.0; 13.0;18.140;B;      ; ;17.560;e;      ;      ;      ;
044.692063900;+00.666777800;0906-0030092;..;044.6920639;+00.6667778;B;    -4.0; 11.0;   -80.0; 16.0;17.510;B;      ; ;16.860;B;      ;      ;      ;
044.691927800;+00.668322200;0906-0030091;..;044.6919278;+00.6683222;B;     0.0;  0.0;     0.0;  0.0;18.090;B;      ; ;18.910;e;      ;      ;      ;
044.692080600;+00.667563900;0906-0030093;..;044.6920806;+00.6675639;B;     0.0;  0.0;     0.0;  0.0;17.630;B;      ; ;17.860;B;      ;      ;      ;
044.724347200;+00.676708300;0906-0030109;..;044.7243472;+00.6767083;B;     0.0;  0.0;     0.0;  0.0;21.170;B;      ; ;19.860;B;      ;      ;      ;
044.711397200;+00.674955600;0906-0030103;YM;044.7113972;+00.6749556;B;    40.0;  3.0;   -42.0;  1.0;18.230;Y;17.000;Y;16.210;B;13.464;12.792;12.566;
044.709636100;+00.683741700;0906-0030099;YM;044.7096361;+00.6837417;B;   -16.0;  1.0;   -24.0;  4.0;      ; ;17.970;Y;20.370;B;16.634;15.752;15.598;
044.711708300;+00.687527800;0906-0030104;..;044.7117083;+00.6875278;B;     0.0;  0.0;     0.0;  0.0;20.090;B;      ; ;19.060;B;      ;      ;      ;
044.666677800;+00.667686100;0906-0030076;.M;044.6666778;+00.6676861;B;     0.0;  0.0;     0.0;  0.0;21.220;B;      ; ;19.550;B;16.643;15.904;15.461;
044.665011100;+00.668430600;0906-0030075;..;044.6650111;+00.6684306;B;     0.0;  0.0;     0.0;  0.0;21.040;B;      ; ;19.950;B;      ;      ;      ;
044.675048900;+00.675390800;0906-0030082;YM;044.6750489;+00.6753908;C;    -3.5;  5.4;   -10.0;  5.4;14.050;Y;13.490;Y;13.150;B;12.208;11.751;11.687;
044.702891700;+00.692647200;0906-0030097;..;044.7028917;+00.6926472;B;    16.0; 15.0;    18.0;  6.0;20.850;B;      ; ;20.090;B;      ;      ;      ;
044.604941700;+00.636005600;0906-0030047;.M;044.6049417;+00.6360056;B;   -26.0;  6.0;     0.0;  8.0;19.790;B;      ; ;19.250;B;17.047;16.371;15.816;
044.602055600;+00.637530600;0906-0030041;YM;044.6020556;+00.6375306;B;     0.0;  0.0;     0.0;  0.0;16.380;Y;15.410;Y;11.650;B;15.650;15.381;14.932;
044.602330600;+00.639575000;0906-0030042;..;044.6023306;+00.6395750;B;  -272.0; 56.0;    74.0;115.0;20.840;o;      ; ;17.130;B;      ;      ;      ;
044.603555600;+00.640219400;0906-0030044;..;044.6035556;+00.6402194;B;    70.0; 56.0;   -40.0;  1.0;19.630;B;      ; ;19.210;e;      ;      ;      ;
044.604297200;+00.640144400;0906-0030046;..;044.6042972;+00.6401444;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.410;B;      ;      ;      ;
044.596686100;+00.650386100;0906-0030035;..;044.5966861;+00.6503861;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.130;B;      ;      ;      ;
044.607630600;+00.656877800;0906-0030049;YM;044.6076306;+00.6568778;B;     0.0;  0.0;     0.0;  0.0;16.710;Y;16.260;Y;15.920;B;14.788;14.361;14.196;
